dateid01,x,y,z
03/01/1990 17:00,6.799337639,-1.48134266,6.578530609
03/01/1990 18:00,7.500950247,-1.489729377,6.421535242
03/01/1990 19:00,8.821611777,-2.2909684,6.791367885
03/01/1990 20:00,8.989518805,-3.084579806,6.685836609
03/01/1990 21:00,9.450316378,-3.476002148,5.120333036
03/01/1990 22:00,8.68910534,-4.8227739,4.8018075
03/01/1990 23:00,9.562751698,-4.529230566,5.302885109
04/01/1990,9.626262083,-4.309439126,6.120302915
04/01/1990 01:00,9.312173294,-2.875147379,5.998352043
04/01/1990 02:00,8.238083635,-2.306704354,6.358628199
04/01/1990 03:00,6.895375409,-2.754143856,7.222666066
04/01/1990 04:00,6.9291087,-4.033175654,7.931620917
04/01/1990 05:00,7.358281312,-3.974604259,7.082248252
04/01/1990 06:00,5.532782711,-2.780060483,7.402496412
04/01/1990 07:00,6.178270172,-2.010514408,5.790587529
04/01/1990 08:00,5.953970977,-1.939626252,6.02086918
04/01/1990 09:00,4.121259866,-1.333982134,7.26340793
04/01/1990 10:00,4.507027375,-1.246561977,6.056581099
04/01/1990 11:00,4.901361626,0.544696871,7.159766833
04/01/1990 12:00,4.107326059,-1.605705313,6.124983002
04/01/1990 13:00,4.319951102,-2.526263066,5.642684511
04/01/1990 14:00,4.36732262,-3.179887533,5.747296659
04/01/1990 15:00,4.694104228,-2.510827024,5.998255984
04/01/1990 16:00,5.81343229,-4.454271756,5.697422459
04/01/1990 17:00,6.216857576,-4.883393853,7.433213894
04/01/1990 18:00,6.130092589,-2.505052942,9.373827566
04/01/1990 19:00,5.41208782,-3.95225542,11.40069513
04/01/1990 20:00,4.288008428,-1.78743783,12.40385885
04/01/1990 21:00,4.950222224,-1.400245925,12.71054174
04/01/1990 22:00,2.679448246,-1.785916339,12.47359855
04/01/1990 23:00,2.95927271,-3.423494441,13.75171463
05/01/1990,3.362792918,-1.283987281,13.37329449
05/01/1990 01:00,2.082201743,0.657965615,13.40495999
05/01/1990 02:00,2.47199508,1.318081211,14.35628217
05/01/1990 03:00,4.832943689,0.516914393,12.5683051
05/01/1990 04:00,3.693865915,0.688592154,12.49785558
05/01/1990 05:00,4.458572829,0.864699112,13.81829795
05/01/1990 06:00,3.129887467,1.443028888,15.1681191
05/01/1990 07:00,1.782324127,0.334124525,15.25129447
